,Person
0,GRASSLEY:
1,ZUCKERBERG:
2,GRASSLEY:
3,ZUCKERBERG:
4,GRASSLEY:
5,ZUCKERBERG:
6,GRASSLEY:
7,ZUCKERBERG:
8,GRASSLEY:
9,NELSON:
10,ZUCKERBERG:
11,NELSON:
12,ZUCKERBERG:
13,NELSON:
14,ZUCKERBERG:
15,NELSON:
16,ZUCKERBERG:
17,NELSON:
18,ZUCKERBERG:
19,NELSON:
20,ZUCKERBERG:
21,NELSON:
22,ZUCKERBERG:
23,NELSON:
24,ZUCKERBERG:
25,GRASSLEY:
26,THUNE:
27,ZUCKERBERG:
28,THUNE:
29,ZUCKERBERG:
30,ZUCKERBERG:
31,THUNE:
32,ZUCKERBERG:
33,THUNE:
34,GRASSLEY:
35,FEINSTEIN:
36,ZUCKERBERG:
37,FEINSTEIN:
38,ZUCKERBERG:
39,FEINSTEIN:
40,ZUCKERBERG:
41,FEINSTEIN:
42,ZUCKERBERG:
43,FEINSTEIN:
44,ZUCKERBERG:
45,FEINSTEIN:
46,ZUCKERBERG:
47,FEINSTEIN:
48,GRASSLEY:
49,ZUCKERBERG:
50,HATCH:
51,ZUCKERBERG:
52,HATCH:
53,ZUCKERBERG:
54,GRASSLEY:
55,ZUCKERBERG:
56,CANTWELL:
57,ZUCKERBERG:
58,CANTWELL:
59,ZUCKERBERG:
60,CANTWELL:
61,ZUCKERBERG:
62,CANTWELL:
63,ZUCKERBERG:
64,CANTWELL:
65,ZUCKERBERG:
66,CANTWELL:
67,ZUCKERBERG:
68,CANTWELL:
69,ZUCKERBERG:
70,CANTWELL:
71,ZUCKERBERG:
72,CANTWELL:
73,ZUCKERBERG:
74,CANTWELL:
75,ZUCKERBERG:
76,CANTWELL:
77,ZUCKERBERG:
78,GRASSLEY:
79,ZUCKERBERG:
80,WICKER:
81,ZUCKERBERG:
82,WICKER:
83,ZUCKERBERG:
84,WICKER:
85,ZUCKERBERG:
86,WICKER:
87,ZUCKERBERG:
88,WICKER:
89,ZUCKERBERG:
90,WICKER:
91,ZUCKERBERG:
92,WICKER:
93,ZUCKERBERG:
94,WICKER:
95,ZUCKERBERG:
96,WICKER:
97,ZUCKERBERG:
98,WICKER:
99,ZUCKERBERG:
100,WICKER:
101,ZUCKERBERG:
102,WICKER:
103,GRASSLEY:
104,ZUCKERBERG:
105,LEAHY:
106,ZUCKERBERG:
107,LEAHY:
108,ZUCKERBERG:
109,LEAHY:
110,ZUCKERBERG:
111,LEAHY:
112,ZUCKERBERG:
113,LEAHY:
114,ZUCKERBERG:
115,LEAHY:
116,ZUCKERBERG:
117,LEAHY:
118,ZUCKERBERG:
119,LEAHY:
120,ZUCKERBERG:
121,LEAHY:
122,ZUCKERBERG:
123,LEAHY:
124,ZUCKERBERG:
125,LEAHY:
126,ZUCKERBERG:
127,LEAHY:
128,ZUCKERBERG:
129,LEAHY:
130,ZUCKERBERG:
131,LEAHY:
132,ZUCKERBERG:
133,LEAHY:
134,THUNE:
135,LEAHY:
136,THUNE:
137,ZUCKERBERG:
138,GRAHAM:
139,ZUCKERBERG:
140,GRAHAM:
141,ZUCKERBERG:
142,GRAHAM:
143,ZUCKERBERG:
144,GRAHAM:
145,ZUCKERBERG:
146,GRAHAM:
147,ZUCKERBERG:
148,GRAHAM:
149,ZUCKERBERG:
150,GRAHAM:
151,ZUCKERBERG:
152,GRAHAM:
153,ZUCKERBERG:
154,GRAHAM:
155,ZUCKERBERG:
156,GRAHAM:
157,ZUCKERBERG:
158,GRAHAM:
159,ZUCKERBERG:
160,GRAHAM:
161,ZUCKERBERG:
162,GRAHAM:
